QID,Question1,Category1
Q1,새로운 디자인을 구상하고 만드는 것이 즐거워요,창의·예술형
Q2,그림을 그리거나 사진을 찍는 활동을 좋아해요,창의·예술형
Q3,음악·무용·연극 같은 공연 예술을 감상하거나 참여하는 것을 좋아해요,창의·예술형
Q4,데이터나 통계를 분석하며 패턴을 찾는 것이 흥미로워요,분석·연구형
Q5,과학 실험·탐구 활동을 통해 원리를 밝혀내는 데 관심이 있어요,분석·연구형
Q6,복잡한 문제를 논리적으로 풀고 해결책을 설계하는 과정이 재미있어요,분석·연구형
Q7,사람들과 이야기하며 그들을 돕는 일을 좋아해요,사람·서비스형
Q8,아이들을 가르치거나 돌보는 활동이 보람차다고 느껴요,사람·서비스형
Q9,행사를 기획하고 참여자들을 즐겁게 만드는 것을 좋아해요,사람·서비스형
Q10,팀 프로젝트를 계획·조정하며 목표를 달성하는 과정이 재미있어요,조직·경영형
Q11,경제·비즈니스 뉴스를 챙겨보고 시장 흐름을 분석하는 것을 좋아해요,조직·경영형
Q12,마케팅 전략을 세우거나 판매 아이디어를 구상하는 데 흥미가 있어요,조직·경영형
Q13,컴퓨터를 조립·수리하거나 프로그래밍을 배우는 것이 재미있어요,기술·현장형
Q14,장비·도구를 사용해 무언가를 만들거나 고치는 활동이 좋아요,기술·현장형
Q15,야외에서 직접 몸을 움직이며 작업하는 것을 즐겨요,기술·현장형
